seed,cope,target,subject,phase,conn
sgACC,csp,sgACC,109,extinction,3.132608413696289
sgACC,csp,sgACC,110,baseline,1.7512508630752563
sgACC,csp,sgACC,110,acquisition,-0.4640231728553772
sgACC,csp,sgACC,110,extinction,0.18502692878246307
sgACC,csp,sgACC,111,baseline,1.566748857498169
sgACC,csp,sgACC,111,acquisition,4.163290023803711
sgACC,csp,sgACC,111,extinction,-1.0927082300186157
sgACC,csp,sgACC,112,baseline,1.3879258632659912
sgACC,csp,sgACC,112,acquisition,1.9340864419937134
sgACC,csp,sgACC,112,extinction,2.199702262878418
sgACC,csp,sgACC,113,baseline,0.07857175171375275
sgACC,csp,sgACC,113,acquisition,2.8974578380584717
sgACC,csp,sgACC,113,extinction,0.6739161610603333
sgACC,csp,sgACC,114,baseline,6.877068042755127
sgACC,csp,sgACC,114,acquisition,0.517585277557373
sgACC,csp,sgACC,114,extinction,1.9219619035720825
sgACC,csp,sgACC,115,baseline,2.031761646270752
sgACC,csp,sgACC,115,acquisition,-0.4765830636024475
sgACC,csp,sgACC,115,extinction,0.7885047793388367
sgACC,csp,sgACC,116,baseline,1.532155990600586
sgACC,csp,sgACC,116,acquisition,0.8043995499610901
sgACC,csp,sgACC,116,extinction,-1.6794381141662598
sgACC,csp,sgACC,117,baseline,-1.341920256614685
sgACC,csp,sgACC,117,acquisition,-1.112647294998169
sgACC,csp,sgACC,117,extinction,-0.6953625082969666
sgACC,csp,sgACC,118,baseline,-0.5451368689537048
sgACC,csp,sgACC,118,acquisition,2.2338309288024902
sgACC,csp,sgACC,118,extinction,3.1541311740875244
sgACC,csp,sgACC,120,baseline,0.8375976085662842
sgACC,csp,sgACC,120,acquisition,2.762192487716675
sgACC,csp,sgACC,120,extinction,0.8145583271980286
sgACC,csp,sgACC,121,baseline,-1.938575029373169
sgACC,csp,sgACC,121,acquisition,-2.877344846725464
sgACC,csp,sgACC,121,extinction,-1.6743282079696655
sgACC,csp,sgACC,122,baseline,-0.8974395990371704
sgACC,csp,sgACC,122,acquisition,0.05592666566371918
sgACC,csp,sgACC,122,extinction,1.400124192237854
sgACC,csp,sgACC,123,baseline,1.1236830949783325
sgACC,csp,sgACC,123,acquisition,2.657315969467163
sgACC,csp,sgACC,123,extinction,2.6280148029327393
sgACC,csp,sgACC,124,baseline,-0.6032252311706543
sgACC,csp,sgACC,124,acquisition,0.9085479974746704
sgACC,csp,sgACC,124,extinction,1.6648072004318237
sgACC,csp,sgACC,125,baseline,1.2133339643478394
sgACC,csp,sgACC,125,acquisition,0.9182611703872681
sgACC,csp,sgACC,125,extinction,1.5658094882965088
sgACC,csp,rACC,1,baseline,16.140605926513672
sgACC,csp,rACC,1,acquisition,-9.900713920593262
sgACC,csp,rACC,1,extinction,-11.616366386413574
sgACC,csp,rACC,2,baseline,29.356081008911133
sgACC,csp,rACC,2,acquisition,0.4529409110546112
sgACC,csp,rACC,2,extinction,-15.927239418029785
sgACC,csp,rACC,3,baseline,5.416726112365723
sgACC,csp,rACC,3,acquisition,34.46678924560547
sgACC,csp,rACC,3,extinction,50.92433166503906
sgACC,csp,rACC,4,baseline,17.577850341796875
sgACC,csp,rACC,4,acquisition,23.722009658813477
