seed,cope,target,subject,phase,conn
mOFC,acq_ext,mOFC,106,memory_run-03,65.34889
mOFC,acq_ext,mOFC,107,memory_run-01,56.505897999999995
mOFC,acq_ext,mOFC,107,memory_run-02,68.94118
mOFC,acq_ext,mOFC,107,memory_run-03,50.093582
mOFC,acq_ext,mOFC,108,memory_run-01,-42.281096999999995
mOFC,acq_ext,mOFC,108,memory_run-02,-22.35659
mOFC,acq_ext,mOFC,108,memory_run-03,-30.545965000000002
mOFC,acq_ext,mOFC,109,memory_run-01,-9.334671
mOFC,acq_ext,mOFC,109,memory_run-02,9.331578
mOFC,acq_ext,mOFC,109,memory_run-03,5.960091
mOFC,acq_ext,mOFC,110,memory_run-01,-5.087217
mOFC,acq_ext,mOFC,110,memory_run-02,-55.464183999999996
mOFC,acq_ext,mOFC,110,memory_run-03,-146.35556
mOFC,acq_ext,mOFC,111,memory_run-01,-91.25178000000001
mOFC,acq_ext,mOFC,111,memory_run-02,159.34401
mOFC,acq_ext,mOFC,111,memory_run-03,-84.67112
mOFC,acq_ext,mOFC,112,memory_run-01,87.999115
mOFC,acq_ext,mOFC,112,memory_run-02,-24.298737
mOFC,acq_ext,mOFC,112,memory_run-03,-1.1453466
mOFC,acq_ext,mOFC,113,memory_run-01,-24.003641000000002
mOFC,acq_ext,mOFC,113,memory_run-02,5.8904157
mOFC,acq_ext,mOFC,113,memory_run-03,7.266788
mOFC,acq_ext,mOFC,114,memory_run-01,18.492224
mOFC,acq_ext,mOFC,114,memory_run-02,55.565754000000005
mOFC,acq_ext,mOFC,114,memory_run-03,-46.328953000000006
mOFC,acq_ext,mOFC,115,memory_run-01,-9.907784
mOFC,acq_ext,mOFC,115,memory_run-02,34.671803000000004
mOFC,acq_ext,mOFC,115,memory_run-03,-49.99275
mOFC,acq_ext,mOFC,116,memory_run-01,-14.952473000000001
mOFC,acq_ext,mOFC,116,memory_run-02,115.1246
mOFC,acq_ext,mOFC,116,memory_run-03,13.437781
mOFC,acq_ext,mOFC,117,memory_run-01,-8.893822
mOFC,acq_ext,mOFC,117,memory_run-02,-13.153185999999998
mOFC,acq_ext,mOFC,117,memory_run-03,4.8866334
mOFC,acq_ext,mOFC,118,memory_run-01,-39.309048
mOFC,acq_ext,mOFC,118,memory_run-02,-3.278796
mOFC,acq_ext,mOFC,118,memory_run-03,26.941923
mOFC,acq_ext,mOFC,120,memory_run-01,-64.27665
mOFC,acq_ext,mOFC,120,memory_run-02,-4.0660680000000005
mOFC,acq_ext,mOFC,120,memory_run-03,84.20934
mOFC,acq_ext,mOFC,121,memory_run-01,162.04764
mOFC,acq_ext,mOFC,121,memory_run-02,-79.842606
mOFC,acq_ext,mOFC,121,memory_run-03,35.344852
mOFC,acq_ext,mOFC,122,memory_run-01,50.330902
mOFC,acq_ext,mOFC,122,memory_run-02,36.779034
mOFC,acq_ext,mOFC,122,memory_run-03,-16.913708
mOFC,acq_ext,mOFC,123,memory_run-01,-14.363045000000001
mOFC,acq_ext,mOFC,123,memory_run-02,-36.020218
mOFC,acq_ext,mOFC,123,memory_run-03,22.788957999999997
mOFC,acq_ext,mOFC,124,memory_run-01,39.48323
mOFC,acq_ext,mOFC,124,memory_run-02,36.039143
mOFC,acq_ext,mOFC,124,memory_run-03,70.91051
mOFC,acq_ext,mOFC,125,memory_run-01,64.3206
mOFC,acq_ext,mOFC,125,memory_run-02,8.169359
mOFC,acq_ext,mOFC,125,memory_run-03,33.38115
mOFC,acq_ext,dACC,1,memory_run-01,65.42594
mOFC,acq_ext,dACC,1,memory_run-02,221.56245
mOFC,acq_ext,dACC,1,memory_run-03,-40.556583
mOFC,acq_ext,dACC,2,memory_run-01,135.01518000000002
mOFC,acq_ext,dACC,2,memory_run-02,-161.04677
mOFC,acq_ext,dACC,2,memory_run-03,108.27125500000001
mOFC,acq_ext,dACC,3,memory_run-01,0.02532846
mOFC,acq_ext,dACC,3,memory_run-02,-141.5427
mOFC,acq_ext,dACC,3,memory_run-03,84.628914
mOFC,acq_ext,dACC,4,memory_run-01,10.033118
mOFC,acq_ext,dACC,4,memory_run-02,50.913437
mOFC,acq_ext,dACC,4,memory_run-03,47.813023
mOFC,acq_ext,dACC,5,memory_run-01,-187.76434
mOFC,acq_ext,dACC,5,memory_run-02,-202.74559
mOFC,acq_ext,dACC,5,memory_run-03,32.203144
mOFC,acq_ext,dACC,6,memory_run-01,67.185326
mOFC,acq_ext,dACC,6,memory_run-02,-190.28638999999998
mOFC,acq_ext,dACC,6,memory_run-03,-237.70695
mOFC,acq_ext,dACC,7,memory_run-01,-95.82084
mOFC,acq_ext,dACC,7,memory_run-02,-25.447287
mOFC,acq_ext,dACC,7,memory_run-03,-48.76421
mOFC,acq_ext,dACC,8,memory_run-01,100.07356999999999
mOFC,acq_ext,dACC,8,memory_run-02,12.161905
